year,team_id,team_name,division_id,division_name,league_id,league_name,wins,losses,pct,games_back,wild_card_games_back,division_rank,league_rank,sport_rank,runs_scored,runs_allowed,run_differential,streak_type,streak_number,streak_code,last_updated
2023,135,San Diego Padres,203,Unknown Division,104,Unknown League,82,80,0.506,18.0,2.0,3,9,17,752,648,104,wins,5,W5,2024-11-26T04:34:41Z
2023,137,San Francisco Giants,203,Unknown Division,104,Unknown League,79,83,0.488,21.0,5.0,4,10,18,674,719,-45,losses,1,L1,2024-10-30T22:59:36Z
2023,115,Colorado Rockies,203,Unknown Division,104,Unknown League,59,103,0.364,41.0,25.0,5,15,28,721,957,-236,wins,1,W1,2025-08-13T02:44:45Z
2024,147,New York Yankees,201,Unknown Division,103,Unknown League,94,68,0.58,-,-,1,1,3,815,668,147,wins,1,W1,2025-04-16T00:38:10Z
2024,110,Baltimore Orioles,201,Unknown Division,103,Unknown League,91,71,0.562,3.0,+5.0,2,3,7,786,699,87,wins,3,W3,2025-04-14T19:20:32Z
2024,111,Boston Red Sox,201,Unknown Division,103,Unknown League,81,81,0.5,13.0,5.0,3,9,18,751,747,4,wins,1,W1,2025-07-14T21:41:30Z
2024,139,Tampa Bay Rays,201,Unknown Division,103,Unknown League,80,82,0.494,14.0,6.0,4,10,20,604,663,-59,losses,1,L1,2025-07-14T21:41:37Z
2024,141,Toronto Blue Jays,201,Unknown Division,103,Unknown League,74,88,0.457,20.0,12.0,5,12,24,671,743,-72,losses,3,L3,2025-06-25T16:17:45Z
2024,114,Cleveland Guardians,202,Unknown Division,103,Unknown League,92,69,0.571,-,-,1,2,6,708,621,87,losses,2,L2,2025-03-11T17:38:51Z
2024,118,Kansas City Royals,202,Unknown Division,103,Unknown League,86,76,0.531,6.5,-,2,6,13,735,644,91,wins,1,W1,2025-04-14T19:17:30Z
2024,116,Detroit Tigers,202,Unknown Division,103,Unknown League,86,76,0.531,6.5,-,3,5,12,682,642,40,losses,2,L2,2025-04-14T19:17:38Z
2024,142,Minnesota Twins,202,Unknown Division,103,Unknown League,82,80,0.506,10.5,4.0,4,8,17,742,735,7,losses,4,L4,2024-11-27T00:54:41Z
2024,145,Chicago White Sox,202,Unknown Division,103,Unknown League,41,121,0.253,51.5,45.0,5,15,30,507,813,-306,wins,2,W2,2025-05-13T20:54:40Z
2024,117,Houston Astros,200,Unknown Division,103,Unknown League,88,73,0.547,-,-,1,4,11,740,649,91,wins,2,W2,2025-03-25T00:00:36Z
2024,136,Seattle Mariners,200,Unknown Division,103,Unknown League,85,77,0.525,3.5,1.0,2,7,14,676,607,69,wins,4,W4,2025-03-18T21:34:40Z
